company,title,year,genre,budget,box_office,roi
A24,A Ghost Story,2017,Drama,100000.0,1596371.0,15.96371
A24,Moonlight,2016,Drama,2750000.0,27854932.0,10.129066181818182
Neon,Longlegs,2024,Horror,10000000.0,74346140.0,7.434614
A24,Eighth Grade,2018,Comedy,2000000.0,13539709.0,6.7698545
A24,The Farewell,2019,Comedy,3000000.0,17695781.0,5.898593666666667
A24,The Whale,2022,Drama,3000000.0,17463630.0,5.82121
Neon,Three Identical Strangers,2018,Documentary,2500000.0,12320845.0,4.928338
A24,Lady Bird,2017,Comedy,10000000.0,48958273.0,4.8958273
A24,Hereditary,2018,Horror,10000000.0,44069456.0,4.4069456
A24,Mid90s,2018,Comedy,1700000.0,7362439.0,4.330846470588235
